label,remark,Chamber,Version,InstrumentModel,InstrumentSerialNumber,RepNum,DeadBand,Area,Offset,ChamVolume,IrgaVolume,TotalVolume,gps_time,latitude,longitude,gps_hdop,altitude,gps_sats,TimeZone,chamber_p,chamber_p_t,chamber_t,soil_t,soilp_c,soilp_m,soilp_t,ch4,co2,h2o,err,ch4_F_o,ch4_F_cv,ch4_t_o,ch4_C_o,ch4_a,ch4_C_x,ch4_iter,ch4_sei,ch4_ses,ch4_r2,ch4_slope,ch4_domain,ch4_n,co2_F_o,co2_F_cv,co2_t_o,co2_C_o,co2_a,co2_C_x,co2_iter,co2_sei,co2_ses,co2_r2,co2_slope,co2_domain,co2_n,TIMESTAMP
36,,82s-1050,1.1,LI-7810,TG10-01087,1,5,318,8,4244.1,46.96,6835.06,1630435269,38.8738,-76.552,1.31,20.3,8,America/New_York,100.977,36.4375,26.4522,9999,0.025,0.345,26.9,2167.58,489.941,30.1586,0,-1.07438,10.7913,0,2167.99,5.86444e-5,0,10,0.443787,0.013655,0.409274,-0.127141,53,54,16.9106,1.46096,-19.2942,485.606,0.00502587,883.78,4,0.660527,0.0203239,0.991107,2.00117,53,54,2021-08-31T18:41:10Z
36,,82s-1050,1.1,LI-7810,TG10-01087,1,5,318,8,4244.1,46.96,6835.06,1630435269,38.8738,-76.552,1.31,20.3,8,America/New_York,100.969,36.4167,26.4455,9999,0.025,0.345,26.9,2167.91,493.499,30.1855,0,-1.07438,10.7913,0,2167.99,5.86444e-5,0,10,0.443787,0.013655,0.409274,-0.127141,53,54,16.9106,1.46096,-19.2942,485.606,0.00502587,883.78,4,0.660527,0.0203239,0.991107,2.00117,53,54,2021-08-31T18:41:11Z
36,,82s-1050,1.1,LI-7810,TG10-01087,1,5,318,8,4244.1,46.96,6835.06,1630435269,38.8738,-76.552,1.31,20.3,8,America/New_York,100.973,36.4271,26.4411,9999,0.025,0.345,26.9,2167.6,494.646,30.2036,0,-1.07438,10.7913,0,2167.99,5.86444e-5,0,10,0.443787,0.013655,0.409274,-0.127141,53,54,16.9106,1.46096,-19.2942,485.606,0.00502587,883.78,4,0.660527,0.0203239,0.991107,2.00117,53,54,2021-08-31T18:41:12Z
36,,82s-1050,1.1,LI-7810,TG10-01087,1,5,318,8,4244.1,46.96,6835.06,1630435269,38.8738,-76.552,1.31,20.3,8,America/New_York,100.977,36.4479,26.4366,9999,0.025,0.345,26.9,2167.35,495.333,30.2214,0,-1.07438,10.7913,0,2167.99,5.86444e-5,0,10,0.443787,0.013655,0.409274,-0.127141,53,54,16.9106,1.46096,-19.2942,485.606,0.00502587,883.78,4,0.660527,0.0203239,0.991107,2.00117,53,54,2021-08-31T18:41:13Z
36,,82s-1050,1.1,LI-7810,TG10-01087,1,5,318,8,4244.1,46.96,6835.06,1630435269,38.8738,-76.552,1.31,20.3,8,America/New_York,100.976,36.45,26.4315,9999,0.025,0.345,26.9,2167.19,506.97,30.2298,0,-1.07438,10.7913,0,2167.99,5.86444e-5,0,10,0.443787,0.013655,0.409274,-0.127141,53,54,16.9106,1.46096,-19.2942,485.606,0.00502587,883.78,4,0.660527,0.0203239,0.991107,2.00117,53,54,2021-08-31T18:41:14Z
36,,82s-1050,1.1,LI-7810,TG10-01087,1,5,318,8,4244.1,46.96,6835.06,1630435269,38.8738,-76.552,1.31,20.3,8,America/New_York,100.976,36.4375,26.4262,9999,0.025,0.345,26.9,2166.04,518.43,30.2524,0,-1.07438,10.7913,0,2167.99,5.86444e-5,0,10,0.443787,0.013655,0.409274,-0.127141,53,54,16.9106,1.46096,-19.2942,485.606,0.00502587,883.78,4,0.660527,0.0203239,0.991107,2.00117,53,54,2021-08-31T18:41:15Z
36,,82s-1050,1.1,LI-7810,TG10-01087,1,5,318,8,4244.1,46.96,6835.06,1630435269,38.8738,-76.552,1.31,20.3,8,America/New_York,100.974,36.4479,26.4199,9999,0.025,0.345,26.9,2165.65,523.452,30.2871,0,-1.07438,10.7913,0,2167.99,5.86444e-5,0,10,0.443787,0.013655,0.409274,-0.127141,53,54,16.9106,1.46096,-19.2942,485.606,0.00502587,883.78,4,0.660527,0.0203239,0.991107,2.00117,53,54,2021-08-31T18:41:16Z
36,,82s-1050,1.1,LI-7810,TG10-01087,1,5,318,8,4244.1,46.96,6835.06,1630435269,38.8738,-76.552,1.31,20.3,8,America/New_York,100.974,36.4479,26.4143,9999,0.025,0.345,26.9,2165.72,530.931,30.3235,0,-1.07438,10.7913,0,2167.99,5.86444e-5,0,10,0.443787,0.013655,0.409274,-0.127141,53,54,16.9106,1.46096,-19.2942,485.606,0.00502587,883.78,4,0.660527,0.0203239,0.991107,2.00117,53,54,2021-08-31T18:41:17Z
36,,82s-1050,1.1,LI-7810,TG10-01087,1,5,318,8,4244.1,46.96,6835.06,1630435269,38.8738,-76.552,1.31,20.3,8,America/New_York,100.969,36.4375,26.4076,9999,0.025,0.345,26.9,2165.61,539.935,30.3574,0,-1.07438,10.7913,0,2167.99,5.86444e-5,0,10,0.443787,0.013655,0.409274,-0.127141,53,54,16.9106,1.46096,-19.2942,485.606,0.00502587,883.78,4,0.660527,0.0203239,0.991107,2.00117,53,54,2021-08-31T18:41:18Z
36,,82s-1050,1.1,LI-7810,TG10-01087,1,5,318,8,4244.1,46.96,6835.06,1630435269,38.8738,-76.552,1.31,20.3,8,America/New_York,100.976,36.4583,26.4016,9999,0.025,0.345,26.9,2165.17,541.516,30.3953,0,-1.07438,10.7913,0,2167.99,5.86444e-5,0,10,0.443787,0.013655,0.409274,-0.127141,53,54,16.9106,1.46096,-19.2942,485.606,0.00502587,883.78,4,0.660527,0.0203239,0.991107,2.00117,53,54,2021-08-31T18:41:19Z
